Random Reading Sequence,Title,Author,List Mentions,Original Order,Reading/Read
,Sons and Lovers,D H Lawrence,9,406,
,The Plague,Albert Camus,8,407,
,Silent Spring,Rachel Carson,8,408,
,As I Lay Dying,William Faulkner,8,409,
,Death in Venice,Thomas Mann,8,410,
,Beloved,Toni Morrison,8,411,
,Pale Fire,Vladimir Nabokov,8,412,
,Long Day's Journey Into Night,Eugene O'Neill,8,413,
,Native Son,Richard Wright,8,414,
,The Second Sex,Simone Beauvoir,7,415,
,Ash Wednesday,T S Eliot,7,416,
,"Absalom,  Absalom!",William Faulkner,7,417,
,A Passage to India,E M Forster,7,418,
,Civilization and Its Discontents,Sigmund Freud,7,419,
,The House of Seven Gables,Nathaniel Hawthorne,7,420,
,The Old Man and the Sea,Ernest Hemingway,7,421,
,For Whom the Bell Tolls,Ernest Hemingway,7,422,
,Their Eyes Were Watching God,Zora Neale Hurston,7,423,
,Cantos,Ezra Pound,7,424,
,Midnight's Children,Salman Rushdie,7,425,
,Catcher in the Rye,J D Salinger,7,426,
,Nausea,Jean-Paul Sartre,7,427,
,Man and Superman,George Bernard Shaw,7,428,
,Pygmalion,George Bernard Shaw,7,429,
,Ficciones,Jorge Luis Borges,6,430,
,Labyrinths,Jorge Luis Borges,6,431,
,The Master and Margarita,Mikhail Bulgakov,6,432,
,My Antonia,Willa Cather,6,433,
,Tender Is the Night,F Scott Fitzgerald,6,434,
,The Golden Bough,James George Frazer,6,435,
,Lord of the Flies,William Golding,6,436,
,The Tin Drum,Günter Grass,6,437,
,A Farewell to Arms,Ernest Hemingway,6,438,
,The Sun Also Rises,Ernest Hemingway,6,439,
,The Golden Bowl,Henry James,6,440,
,The Varieties of Religious Experience,William James,6,441,
,Death of a Salesman,Arthur Miller,6,442,
,No Exit,Jean-Paul Sartre,6,443,
,The Lord of the Rings,J R R Tolkien,6,444,
,The Age of Innocence,Edith Wharton,6,445,
,The Wind Among the Reeds,William Butler Yeats,6,446,
,The Shadowy Waters,William Butler Yeats,6,447,
,Michael Robartes and the Dancer,William Butler Yeats,6,448,
,The Tower,William Butler Yeats,6,449,
,The Winding Stair,William Butler Yeats,6,450,
,New Poems [1938],William Butler Yeats,6,451,
,Mont-Saint-Michel and Chartres,Henry Adams,5,452,
,"Winesburg,  Ohio",Sherwood Anderson,5,453,
,The Handmaid's Tale,Margaret Atwood,5,454,
,If on a Winter's Night a Traveler,Italo Calvino,5,455,
,Nostromo,Joseph Conrad,5,456,
,Relativity,Albert Einstein,5,457,
,"I, Claudius",Robert Graves,5,458,
,Hunger,Knut Hamsun,5,459,
,The Principles of Psychology,William James,5,460,
,Finnegans Wake,James Joyce,5,461,
,In the Penal Colony,Franz Kafka,5,462,
,On the Road,Jack Kerouac,5,463,
,One Flew Over the Cuckoo's Nest,Ken Kesey,5,464,
,The Structure of Scientific Revolutions,Thomas S Kuhn,5,465,
,The Leopard,Giuseppe Tomasi di Lampedusa,5,466,
,Women in Love,D H Lawrence,5,467,
,To Kill a Mockingbird,Harper Lee,5,468,
,Babbitt,Sinclair Lewis,5,469,
,Man's Fate,André Malraux,5,470,
,Buddenbrooks,Thomas Mann,5,471,
,Rebecca,Daphne du Maurier,5,472,
,The Man Without Qualities,Robert Musil,5,473,
,Doctor Zhivago,Boris Pasternak,5,474,
,The Bell Jar,Sylvia Plath,5,475,
,All Quiet on the Western Front,Erich Maria Remarque,5,476,
,Duino Elegies,Rainer Maria Rilke,5,477,
,Being and Nothingness,Jean-Paul Sartre,5,478,
,The Jungle,Upton Sinclair,5,479,
,All the King's Men,Robert Penn Warren,5,480,
,Ethan Frome,Edith Wharton,5,481,
,The House of Mirth,Edith Wharton,5,482,
,Our Town,Thornton Wilder,5,483,
,A Streetcar Name Desire,Tennessee Williams,5,484,
,The Waves,Virginia Woolf,5,485,
,Poems,William Butler Yeats,5,486,
,The Collected Poems of W B Yeats,William Butler Yeats,5,487,
